field,label,n,first_positive,second_positive,raw_agreement,cohen_kappa
lifecycle,candidate analysis,199,150,184,0.809045,0.328777
lifecycle,execution observation,199,157,157,0.909548,0.728389
lifecycle,patch validation,199,46,45,0.934673,0.814804
lifecycle,path and input exploration,199,116,142,0.839196,0.653875
lifecycle,reporting and audit,199,78,152,0.587940,0.260223
lifecycle,reproduction and validation,199,96,102,0.708543,0.417600
capability,context aggregation / rule extraction,199,164,190,0.849246,0.265321
capability,failure reuse / strategy update,199,94,81,0.773869,0.543042
capability,feedback interpretation / loop adjustment,199,186,179,0.914573,0.440549
capability,governance / human gates / disclosure control,199,18,27,0.904523,0.526369
capability,long-horizon state management,199,125,103,0.849246,0.695750
capability,tool routing / strategy routing,199,150,173,0.804020,0.372950
capability,validation organization / evidence packaging,199,147,180,0.753769,0.197647
